SLI2226,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,0:58,16:23,05:21PM CST
XA-GEN,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,1:02,15:13,04:15PM CST
VOI112,A. I. de Querétaro,A. I. de Cancún,2:56,14:55,05:51PM EST
VIV4203,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,0:55,14:35,03:30PM CST
SLI2463,A. I. de Querétaro,A. I. Benito Juárez,0:28,9:18,09:46AM CST
VIV2059,A. I. de Querétaro,A. I. de Cancún,2:56,8:42,11:38AM EST
N584PC,A. I. de Querétaro,A. I. Gral. Rafael Buelna,1:47,8:22,10:09AM CST
VTM9902,A. I. de Querétaro,	A. I. Manuel Crescencio Rejón,1:39,2:34,04:13AM CST 
SLI2226,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,0:56,16:20,05:16PM CST
XA-RFH,A. I. de Querétaro,A. I. Ponciano Arriaga,0:32,15:42,04:14PM CST
SLI377,A. I. de Tapachula,A. I. Benito Juárez,1:17,20:00, 09:17PM CST
SLI375,A. I. de Tapachula,A. I. Benito Juárez,1:26,14:51,04:17PM CST
VOI797,A. I. de Tapachula,A. I. Benito Juárez,1:20,13:28,02:48PM CST
SLI373,A. I. de Tapachula,A. I. Benito Juárez,1:18,10:06, 11:24AM CST
VOI409,A. I. del Bajío,A. I. Gral. Abelardo L. Rodríguez,0:33,20:26,08:59PM PST
SLI159,A. I. del Bajío,A. I. Benito Juárez,0:36,19:38,08:14PM CST
SLI9084,A. I. del Bajío,A. I. Benito Juárez,0:37,19:37,08:14PM CST
N970GW,A. I. del Bajío,A. I. Abraham González,0:51,18:30,07:21PM MST
VOI594,A. I. del Bajío,A. I. de Cancún,2:11,15:04,06:17PM EST
VOI638,A. I. del Bajío,A. I. de Cancún,3:20,13:56,05:06PM EST
VIV4183,A. I. del Bajío,A. I. Gral. Mariano Escobedo,0:56,13:31,02:27PM CST
VIV9066,A. I. del Bajío,A. I. Abraham González,0:41,11:41,12:22PM MST
SLI153,A. I. del Bajío,A. I. Benito Juárez,0:31,11:18,11:49AM CST
VOI248,A. I. del Bajío,A. I. de Los Cabos,0:17,10:39,10:56AM MST
SLI155,A. I. del Bajío,A. I. Benito Juárez,0:34,8:48,09:22AM CST
SLI8970,A. I. del Bajío,A. I. Benito Juárez,0:36,8:47,09:23AM CST
VOI401,A. I. del Bajío,A. I. Gral. Abelardo L. Rodríguez,0:37,8:15,08:52AM PST
